publication_title,publication_url,product_sku,product_price,product_category,product_city,product_zone,product_neighborhood,business_type,product_type,antiquity,stratum,isUsed,featured,longitude,latitude,privateArea,builtArea,rooms,bathrooms,garages,adminPrice
"Casa en Venta, Buena Vista, Bucaramanga",/inmueble/venta-casa-bucaramanga-na-3-habitaciones-4-banos-2-garajes/370-M2918730,370-M2918730,1300000000,venta - Casa,Bucaramanga,,Buena Vista,venta,Casa,Entre 0 y 5 años,6,true,"[""Apto para niños"",""Aire acondicionado"",""Alarma"",""Citófonos"",""Estudio o biblioteca"",""Hall de alcobas"",""Jacuzzi"",""Puerta seguridad"",""Sauna / turco"",""Zona de lavandería"",""Instalación de gas natural"",""Calentador gas"",""Tipo de casa condominio"",""Tipo de cocina isla"",""Tipo de comedor sala comedor"",""Deposito 1"",""Tipo de estufa gas"",""Tipo de parqueadero independiente"",""Tipo acabado de piso porcelanato"",""Tipo de piso en alcobas cerámica"",""Vista exterior"",""Area lote 380 m²"",""Acceso para discapacitados"",""Circuito cerrado de TV"",""Jardín"",""Vista panorámica"",""Conjunto cerrado"",""Vigilancia 24hrs"",""Cancha(s) de basket"",""Cancha(s) de fútbol"",""Cancha(s) de tennis"",""Gimnasio"",""Salón comunal"",""Sendero peatonal"",""Zona de BBQ"",""Zona para niños"",""Zonas verdes"",""Cerca parques"",""Cerca supermercados""]",-73.014496,6.9240603,240,280,3,4,2,435000
"Apartamento en Venta, La Barceloneta, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-cabecera-del-llano-3-habitaciones-3-banos-2-garajes/16508-M4694666,16508-M4694666,650000000,venta - Apartamento,Bucaramanga,Nororiente,CABECERA DEL LLANO,venta,Apartamento,Entre 10 y 20 años,6,true,"[""Apto para niños"",""Aire acondicionado"",""Alarma"",""Citófonos"",""Tipo de cortinas persianas"",""Estudio o biblioteca"",""Parqueadero cubierto"",""Hall de alcobas"",""Puerta seguridad"",""Sauna / turco"",""Zona de lavandería"",""Instalación de gas natural"",""Closets 3"",""Piso 11"",""Calentador gas"",""Tipo de cocina paralela"",""Tipo de comedor sala comedor"",""Deposito 1"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Tipo acabado de piso porcelanato"",""Tipo de piso en alcobas porcelanato"",""Tipo de piso en comedor porcelanato"",""Tipo de piso en estudio porcelanato"",""Tipo de piso en sala porcelanato"",""Vista interior"",""Ascensor"",""Acceso para discapacitados"",""Vista panorámica"",""Conjunto cerrado"",""Número de Ascensores 2"",""Terraza/Balcón ninguno"",""Vigilancia 24hrs"",""Gimnasio"",""Salón comunal"",""Zona para niños"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía secundaria""]",-73.10753,7.115602,144,144,3,3,2,440000
"Apartamento en Venta, ALARCON, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-alarcon-3-habitaciones-2-banos-1-garajes/5066-M4693309,5066-M4693309,270000000,venta - Apartamento,Bucaramanga,Noroccidente,ALARCON,venta,Apartamento,Entre 5 y 10 años,4,true,"[""Apto para niños"",""Estudio o biblioteca"",""Parqueadero cubierto"",""Hall de alcobas"",""Jacuzzi"",""Zona de lavandería"",""Instalación de gas natural"",""Piso 3"",""Tipo de cocina en l"",""Tipo de comedor sala comedor"",""Deposito 0"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Tipo acabado de piso cerámica"",""Vista exterior"",""Area Terraza/Balcón 2 m²"",""Ascensor"",""Circuito cerrado de TV"",""Conjunto cerrado"",""Número de Ascensores 1"",""Terraza/Balcón balcón"",""Vigilancia 24hrs"",""Gimnasio"",""Salón comunal"",""Zona para niños"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía principal""]",-73.12207,7.126711,76.2,76.2,3,2,1,305000
"Apartamento en Venta, CABECERA DEL LLANO, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-cabecera-del-llano-3-habitaciones-3-banos-2-garajes/16609-M4732527,16609-M4732527,490000000,venta - Apartamento,Bucaramanga,Nororiente,CABECERA DEL LLANO,venta,Apartamento,Más de 20 años,6,true,"[""Apto para niños"",""Citófonos"",""Estudio o biblioteca"",""Parqueadero cubierto"",""Hall de alcobas"",""Jacuzzi"",""Zona de lavandería"",""Instalación de gas natural"",""Closets 3"",""Piso 9"",""Calentador gas"",""Tipo de cocina en l"",""Tipo de comedor comedor independiente"",""Deposito 1"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Tipo acabado de piso marmol"",""Vista exterior"",""Area Terraza/Balcón 10 m²"",""Ascensor"",""Circuito cerrado de TV"",""Vista panorámica"",""Número de Ascensores 1"",""Terraza/Balcón terraza"",""Vigilancia 12hrs"",""Salón comunal"",""Zona de BBQ"",""Zona para niños"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía secundaria""]",-73.10618,7.117527,171,171,3,3,2,820000
"Apartamento en Venta, CIUDADELA REAL DE MINAS, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-ub-chico-real-et-ii-3-habitaciones-3-banos-1-garajes/5066-M4391605,5066-M4391605,320000000,venta - Apartamento,Bucaramanga,Occidente,UB  CHICO REAL ET  II,venta,Apartamento,Más de 20 años,4,true,"[""Citófonos"",""Cuarto de servicio"",""Estudio o biblioteca"",""Parqueadero cubierto"",""Equipado / amoblado"",""Zona de lavandería"",""Instalación de gas natural"",""Closets 3"",""Piso 5"",""Calentador gas"",""Tipo de cocina lineal"",""Tipo de comedor comedor independiente"",""Deposito 1"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Tipo acabado de piso cerámica"",""Tipo de piso en alcobas cerámica"",""Tipo de piso en comedor cerámica"",""Tipo de piso en estudio cerámica"",""Tipo de piso en sala cerámica"",""Vista interior"",""Area Terraza/Balcón 30 m²"",""Circuito cerrado de TV"",""Vista panorámica"",""Conjunto cerrado"",""Número de Ascensores 0"",""Terraza/Balcón terraza"",""Vigilancia 24hrs"",""Zonas verdes"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía principal""]",-73.12586,7.099906,155,155,3,3,1,220000
"Apartamento en Venta, CABECERA DEL LLANO, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-cabecera-del-llano-3-habitaciones-2-banos-1-garajes/5066-M4590173,5066-M4590173,480000000,venta - Apartamento,Bucaramanga,Nororiente,CABECERA DEL LLANO,venta,Apartamento,Entre 10 y 20 años,6,true,"[""Apto para niños"",""Aire acondicionado"",""Citófonos"",""Tipo de cortinas ninguna"",""Estudio o biblioteca"",""Parqueadero cubierto"",""Zona de lavandería"",""Instalación de gas natural"",""Closets 3"",""Piso 4"",""Calentador gas"",""Tipo de cocina paralela"",""Tipo de comedor comedor independiente"",""Deposito 1"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Tipo acabado de piso porcelanato"",""Tipo de piso en alcobas porcelanato"",""Tipo de piso en comedor porcelanato"",""Tipo de piso en sala porcelanato"",""Vista exterior"",""Area Terraza/Balcón 5 m²"",""Ascensor"",""Acceso para discapacitados"",""Circuito cerrado de TV"",""Piscina"",""Vista panorámica"",""Conjunto cerrado"",""Número de Ascensores 1"",""Terraza/Balcón balcón"",""Vigilancia 24hrs"",""Salón comunal"",""Zona de BBQ"",""Zona para niños"",""Zonas verdes"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía principal""]",-73.108505,7.119449,99.99,99.99,3,2,1,630000
"Apartamento en Venta, Cabecera Del Llano, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-cabecera-del-llano-5-habitaciones-5-banos-2-garajes/10159-M4710236,10159-M4710236,700000000,venta - Apartamento,Bucaramanga,Nororiente,CABECERA DEL LLANO,venta,Apartamento,Más de 20 años,6,true,"[""Baño auxiliar"",""Citófonos"",""Cocina tipo americano"",""Cocina integral"",""Cuarto de servicio"",""Estudio o biblioteca"",""Hall de alcobas"",""Vigilancia"",""Zona de lavandería"",""Piso 5"",""Deposito 1"",""Tipo acabado de piso cerámica"",""Ascensor"",""Baños de servicio"",""Vista panorámica"",""Portería"",""Terraza/Balcón balcón"",""Salón comunal"",""Cerca parques"",""Sobre vía principal"",""Zona residencial""]",-73.107574,7.121443,189.04,189.04,5,5,2,904000
"Apartamento en Venta, Cabecera, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-cabecera-del-llano-4-habitaciones-4-banos-2-garajes/16401-M4636629,16401-M4636629,780000000,venta - Apartamento,Bucaramanga,Nororiente,CABECERA DEL LLANO,venta,Apartamento,Entre 10 y 20 años,6,true,"[""Citófonos"",""Cuarto de servicio"",""Hall de alcobas"",""Vigilancia"",""Instalación de gas natural"",""Calentador gas"",""Tipo de comedor sala comedor"",""Deposito 1"",""Tipo de estufa gas"",""Tipo acabado de piso porcelanato"",""Tipo de piso en alcobas porcelanato"",""Tipo de piso en comedor porcelanato"",""Tipo de piso en estudio porcelanato"",""Tipo de piso en sala porcelanato"",""Ascensor"",""Baños de servicio"",""Terraza/Balcón balcón"",""Vigilancia 24hrs"",""Zona residencial""]",-73.108,7.11587,146.97,150,4,4,2,600000
"Apartamento en Venta, Alvarez, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-quinta-brigada-3-habitaciones-2-banos-1-garajes/16401-M4613078,16401-M4613078,280000000,venta - Apartamento,Bucaramanga,Nororiente,QUINTA BRIGADA,venta,Apartamento,Entre 5 y 10 años,3,true,"[""Citófonos"",""Hall de alcobas"",""Vigilancia"",""Instalación de gas natural"",""Calentador gas"",""Tipo de comedor sala comedor"",""Tipo de estufa gas"",""Tipo acabado de piso cerámica"",""Tipo de piso en alcobas cerámica"",""Tipo de piso en comedor cerámica"",""Tipo de piso en estudio cerámica"",""Tipo de piso en sala cerámica"",""Ascensor"",""Parqueadero visitantes"",""Terraza/Balcón balcón"",""Vigilancia 24hrs"",""Salón comunal"",""Zona para niños""]",-73.11066,7.12819,80,82,3,2,1,362000
"Apartamento en Venta, Barrio Alvarez, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-alvarez-las-americas-4-habitaciones-2-banos-2-garajes/16565-M4733108,16565-M4733108,550000000,venta - Apartamento,Bucaramanga,Nororiente,ALVAREZ LAS AMERICAS,venta,Apartamento,Entre 10 y 20 años,4,true,"[""Baño auxiliar"",""Cocina integral"",""Comedor auxiliar"",""Estudio o biblioteca"",""Hall de alcobas"",""Zona de lavandería"",""Piso 1"",""Deposito 1"",""Tipo acabado de piso cerámica"",""Baños de servicio"",""Parqueadero visitantes"",""Vivienda bifamiliar"",""Zona de BBQ"",""Zonas verdes"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca transporte público"",""Sobre vía principal"",""Zona residencial""]",-73.11055,7.1270823,220,220,4,2,2,null
